Issue Key,Summary,Reporter,Assignee,Status,Created,Updated,Fixed By,Description,Issue Type
BE-19299,S2 OD - Call 736689 - Orders Showing in Open Status But Reflecting Late In IQ APP,Shreenivas Ramling Alte,Neeraj Kumar Sinha,Deployed to Prod,2025-03-29T14:23:50.970+0530,2025-04-03T11:10:57.893+0530,Uplifters,"1.MyMCS: *736689*          2.Issue Reported Date: 29^th^ March 2025  3.Location: Location : All Mumbai Location                  4.Issue Reported by and Dep.: Operation  5.Issue severity: S3 - S2  6.Issue type: BUG  7.Location Impacted: Location : All Mumbai Location  8.Issue Reported: *Orders Showing in Open Status But Reflecting Late In IQ APP*  9.L1 Analysis:   Orders are showing as open but are experiencing delays in the IQ app, which is impacting on our SLA. We just want to know the reason if the order is shown on dashboard, then why it is not assign to the available picker at the same time? It is taking 15-30 seconds to assign the available picker. For the reference attached video in the google drive link where the order is showing in the dashboard but not assigned to the picker at the same time.  Please find below order details and picker ID also attached the logs in the google drive link     Order ID : order ID: 1667283889 Picker ID : Ace50088 (20003346), ace51293 (20054889)  10.Screenshots and link:  [https://drive.google.com/drive/folders/1ytyosp_mM-RBl44H2QY2eZWuoMxri1vW?usp=sharing|https://drive.google.com/drive/folders/1ytyosp_mM-RBl44H2QY2eZWuoMxri1vW?usp=sharing|smart-link]   11.Issue Type: New  12.Remarks: NA  13.Created by: Shreenivas Alte  14.Contact : - 9762883483",Bug
BE-19297,736476 - SKU not visible on BB APP,karthi.palanivel,karthi.palanivel,Admin Config Change,2025-03-28T22:04:09.940+0530,2025-04-03T22:51:11.885+0530,Supernovas,1.MyMCS: *736476* 2.Issue Reported Date:  3.Location:  T3EX-NOR-Bareilly2    Fc- DS-T3NOI-Bareilly-2 4.Issue Reported by and Dep.: Operation 5.Issue severity: S3 6.Issue type: BUG 7.Location Impacted : T3EX-NOR-Bareilly2  Fc- DS-T3NOI-Bareilly-2 8.Issue Reported:OPS 9.L1 Analysis:  Today we have updated Bareilly 2 JOSM around 4:30 PM and we have received a few orders too. But after some time we are not able to see sku`s on BB app. Now customers are not able to place order under Bareilly 2 Express JOSM.  FC: Fc- DS-T3NOI-Bareilly-2 10.Screenshots and link: 11.Issue Type: New 12.Remarks: NA 13.Created by: Karthi P 14.Contact:-8867817298,Bug
BE-19295,[Realtime Earning] Incorrect order milestone payout calculation logic ,vikas.yadav,vikas.yadav,Accepted,2025-03-28T19:44:24.707+0530,2025-04-02T12:45:47.864+0530,Morphous,"currently '{{order_incentive_payouts}}' display incorrect value for milestone incentives.   code :   {noformat} """"incentives_milestones"""": {                         """"daily"""": [                             {                                 """"index"""": 0,                                 """"target"""": 6,                                 """"rate"""": 10.0,                                 """"total"""": 60.0,                                 """"is_incremental"""": false                             },{noformat}  Daily incentive scenario*:* '{{is_incremental}}' = false or *flat incentive.*           → existing logic : we would be assigning the rate value based on the target that is achieved.           → point to be discussed : should we add the rate based on milestone once it is achieved or only the rate value associated to target should be displayed.                ex: there are 3 milestones  ( [target : 6, rate : 10], [target: 10, rate : 20], [target: 20, rate 40])  * with current logic, if cee had delivered 20 orders, we are adding the value 40. or should we add the rate values, 10 + 20 + 40 = 70.   Daily incentive scenario : '{{is_incremental}}' = true or *incremental incentive*  → existing logic : ‘rate’ * ‘target’ value is considered on the orders that are delivered.  → point to be discussed : we should be assigning the incremental value from the next order of target value.        ex : cee achieves incremental milestone for delivering 10 orders.  so as per current logic, we are giving cee : 10 * rate value and then on upcoming orders, he will be get rate value added to each delivered order.   expected behavior is to include rate value on the upcoming orders only. i.e: 11th order will get extra rate value.   weekly incremental scenario : cee achieves weekly incremental milestone, in this the incremental value should be displayed along with realtime earning for that day.",Transient Bug
BE-19290,"In the Quick Filter position no more than 2 Tag group's Tag values show up, looking for a resolution to show more tag values of more than 2 Tag groups ",Teegala Dheeraj,Aman Gehani,Deployed to Prod,2025-03-28T16:08:55.070+0530,2025-04-08T13:56:31.844+0530,Supernovas,"I'm facing an issue of showing the tag values in the quick filter position on the listing page for the search term='cat food'. So when you search 'cat food' all tag groups and tag values i created got uploaded within the filter button, but in the quick filter position it only shows 3 tag values in the quick filter position while i uploaded 8. Only the tag values cat, adult cat, kitten show up.  The tag values Wet food, dry food, non-veg, chicken, tuna are tag values that don't show up on the QF position. although wet food, dry food, non-veg are more prevalent tag value than kitten. here is the list of tag groups and tag value for reference:- Tag Value                 Tag group           (both tag value ID number & tag group ID number are in the brackets) Cat(6191)                 pet(483) Adult Cat(6189)	pet lifestage(484) Kitten(6193)	        pet lifestage(484) Chicken(6194)         meal base(485) Tuna(6195)              meal base(485) Wet Food(6196)      food form(486) Dry Food(6198)	food form(486) Non Veg(6197)        dietary choice(487) Attached an image and circled the tag values for your reference",Bug
BE-19287,"""""Delivery app - Whenever I click on 'Proceed to Delivery,' I receive a 'Something went wrong (500 error)' message.""""",venkata.narasaiah,venkata.narasaiah,Accepted,2025-03-28T15:07:28.521+0530,2025-03-28T18:07:41.951+0530,Django UnChainers,"URL: [https://qas31.bigbasket.com/hubops/dapi/v6/route/current|https://qas31.bigbasket.com/hubops/dapi/v6/route/current] Method: POST Protocol: h2 Status: Complete Response: 500 SSL: YesRequest time: Fri Mar 28 13:33:47 GMT+05:30 2025 Response time: Fri Mar 28 13:33:47 GMT+05:30 2025 Duration: 503 msRequest size: 2 B Response size: 126 B Total size: 128 B---------- Request ----------X-Tracker: f57d74df-8290-4605-92ea-190a8721470d X-Uid: 712317 x-project: fc-canary Authorization: Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjZWVfaWQiOjcxMjMxNywiZGV2aWNlX2lkIjoiOWZmMTUzMWY3MjA2NTBlMCIsImlhdCI6MTc0MzE0ODk4NCwiZXhwIjoxNzQzMTUyNTg0fQ.LBiXSft99SJu_HWgV19PepUwbjbQdpXzTukxJNNa7Ls X-Refresh-Token: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJyZWZyZXNoX3Rva2VuIjoiRGhlQkxJQ2o0c21ZUlhqSmVaTXJCQ2hOUXNVVm9meVJxRHlDZWpsenpHVFdVLS10OWpBdXp4MGZMWVNvay1XQ2U0dHRxVVZUU2RiZ2twcmwwSkYzdUtkZlIyR1V1d0xCa2g3a0YwUk9EMks1NHRQb0dhcHdlaFFzZk9NZTgxaFpHOHBvRm9OUTFfd3hHVGQ3MmlkRkZFcU9va0dqbkVmdXJYQ01PM21ScmdzSHpHbTkzZU4zZS1DR2wwZV9qcXB4U20yd2tqYmNIYjN3dEJxNDNFLXo3Z0lsR0VNMm9HZlFzS0tvUzlMYjRjWV9vaWlOd2Jxb2d1d1lqbTc0ME13WmRSODZrZ01FbWpJVnNBZmxxT1BaSzdmRFJiN00zUTZsd2NCckhjLXBvOVdoMzJzazExVlNrMk83UmdYUFc2Y3VpSDBvV0daZmlxbnR6bzY0OXJzdTd3IiwiaWF0IjoxNzQzMTQ4OTg0LCJleHAiOjE3NDMyMzg5ODR9.D4MLN_9TKHTSG5Qei7ZBCwL3GcNXQ6ZtBfeLDHtk49g X-Tenant-Id: 1{}---------- Response ----------date: Fri, 28 Mar 2025 08:03:47 GMT content-type: text/plain; charset=utf-8 content-length: 126 content-security-policy: default-src 'self'; script-src 'self'; style-src 'self' referrer-policy: no-referrer server: nginx/1.15.8 strict-transport-security: max-age=31536000; includeSubDomains x-content-type-options: nosniff x-frame-options: DENY x-xss-protection: 1; mode=block{""""errors"""":[{""""code"""":1000,""""code_str"""":""""HO1000"""",""""display_msg"""":""""Something went wrong."""",""""type"""":""""DAPI_UNEXPECTED_ERROR"""",""""msg"""":null}]}        Endpoint: /eta/v1/internal/order/eta, Body: 1614714435, Response: { """"errors"""" : [ { """"code"""" : 400, """"code_str"""" : """"ETA400"""", """"type"""" : """"BB2-Order"""", """"msg"""" : """"Error from BB2-Order service. Error: Error calling web service non 200 status code, url is /order/internal/v1/orders/?order_ids[]=1614714435&sections[]=status_time_details&sections[]=details&sections[]=eta_info Status code 503 Response is Service Unavailable"""", """"display_msg"""" : """"Something Went wrong. Please try again"""" } ] }, Status: 400  Cee id - 712317  X-tracker : f57d74df-8290-4605-92ea-190a8721470d",Transient Bug
BE-19286,Unable to add SKU cat LLC to returns group,Brahmanandam S,Brahmanandam S,Admin Config Change,2025-03-28T14:12:01.610+0530,2025-04-01T09:37:43.805+0530,Supernovas,Unable to add sku categories to returns rule(ReturnExchange-Zero). Getting json error. Error screenshot attached.,Bug
BE-19285,Facing issue while placing interdc 2.0 order ,Sanjay N,Sanjay N,Accepted,2025-03-28T13:08:05.410+0530,2025-04-02T16:14:30.886+0530,Uplifters,"Steps to simulate :   1. Choose a src fc and destination fc 2. Try to create a interfc order via catalog admin 3. Getting error message in the logs saying *hub mapping api error. order: 1614714353, sa: 13999, dm: 7*  NOTE : Have attached logs for reference  [https://bigbasket.ap-south-1.kibana.apptuit.ai/app/discover#/?_g=(filters:\!(),refreshInterval:(pause:\!t,value:0),time:(from:'2025-03-28T06:35:13.858Z',to:'2025-03-28T06:40:20.732Z'))&_a=(columns:\!(message),filters:\!(),index:'bigbasket-dev-qa-*',interval:auto,query:(language:kuery,query:'""""hub mapping api error"""" AND """"1614714353""""'),sort:!())|https://bigbasket.ap-south-1.kibana.apptuit.ai/app/discover#/?_g=(filters:!(),refreshInterval:(pause:!t,value:0),time:(from:'2025-03-28T06:35:13.858Z',to:'2025-03-28T06:40:20.732Z'))&_a=(columns:!(message),filters:!(),index:'bigbasket-dev-qa-*',interval:auto,query:(language:kuery,query:'%22hub%20mapping%20api%20error%22%20AND%20%221614714353%22'),sort:!())]",Transient Bug
BE-19280,Sku is not coming to handover after PRN initiation in qa,Kavya SG,Harshit Kakkar,Accepted,2025-03-28T12:39:31.954+0530,2025-04-03T16:12:58.654+0530,TrailBlazers,"After PRN initiation , sku is not coming for Handover supplier_return_id: 1102 X-project: picker X-tracker :  09c7e223-0ff5-47de-96dc-865dbe779f1b  cc : [~accountid:6305adb275b5bbf5e3179074] [~accountid:557058:aecedb0b-42da-403c-90ff-ecd1b94f9b7a]",Transient Bug
BE-19279,"catalog_svc/catalog/internal/sku/ api is not returning """"Gift Store"""" object  in UAT env eventhough data set up is done",dodda.basappa,dodda.basappa,Accepted,2025-03-28T12:22:49.823+0530,2025-04-02T09:43:23.076+0530,Supernovas,"catalog_svc/catalog/internal/sku/ api is not returning """"Gift Store"""" which we did the data set-up in UAT env. cc [~accountid:557058:d5ad0d74-8424-442f-88c4-e367ebf64c2b] [~accountid:557058:f076b9ae-92ce-438a-86cb-5b73995a0f4f]  due to this issue nitro deployment is blocked for pd-svc,  [~accountid:5c92375b1244112d1eb5761f] please help us to resolve it resolved..Thanks  we updated the db and cache refreshed for these 2 sku’s . mysql> select * from product_productdescription_product_tags WHERE productdescription_id='40256813'AND tagvalue_id='383'; +---------+-----------------------+-------------+---------------------+ | id      | productdescription_id | tagvalue_id | created_on          | +---------+-----------------------+-------------+---------------------+ | 1205367 |              40256813 |         383 | 2025-03-27 09:12:46 | +---------+-----------------------+-------------+---------------------+ 1 row in set (0.00 sec)  mysql> select * from product_productdescription_product_tags WHERE productdescription_id='40220377'AND tagvalue_id='383'; +---------+-----------------------+-------------+---------------------+ | id      | productdescription_id | tagvalue_id | created_on          | +---------+-----------------------+-------------+---------------------+ | 1205366 |              40220377 |         383 | 2025-03-27 08:19:46 | +---------+-----------------------+-------------+---------------------+   Catalog fc API response: [^catalog_fcResponse]",Transient Bug
BE-19277,CEE payout [Realtime Earning] : Newly onboarded Cee is not able to see realtime earning on first day.,vikas.yadav,Anuranjit Maindola,Accepted,2025-03-28T11:43:49.863+0530,2025-04-21T17:36:50.902+0530,Morphous,"scenario:   → new cee gets onboarded in payout system, initially store doesn’t get assigned and hence no rate is applicable. so on first day, for the order he/she delivers, no realtime earning would be reflected.   However, from day 2 the earnings would be shown since we would have order report parsed in system and from that report, we would assign the store to the cee.   Expectation:  → cee should be assigned with store on first day itself in order to get realtime earning be displayed.   possible solution:   → while onboarding the cee in payout, we should be assigning the store as well.",Transient Bug
BE-19273,S2 OD - Call 736148 - Unable to move the stock from miscellaneous to the primary location,Radha Chandrashekar,Radha Chandrashekar,Deployed to Prod,2025-03-28T10:04:23.031+0530,2025-04-17T11:09:36.987+0530,TrailBlazers,"# MyMCS:736148                                                                                                    # Issue Reported Date:28th March 2025 # Issue Reported by: Finance # Issue type: BUG # Location Impacted:Pan india # Issue severity:S3  User id [sompalli.manideep@bigbasket.com|mailto:sompalli.manideep@bigbasket.com]  TImestamp 27th March between 5 to 5.30 PM  FC ID 1   SKU 10102  Bin T-22-C-3  Quantitiy want to move 500  Error 0 Bin availalble   The team is unable to move the stock from miscellaneous to the primary location,  The BIn is not showing in the App.     !image-20250328-045223.png|width=100%,alt=""""image-20250328-045223.png""""!    # Screenshots and link: Attaching the relevant details  # Business impact: NA # Issue Type: Repeated # Remarks: NA # Created by: Radha    [https://fulfillment.bb-matrix.com/catalog-admin/#/sku_data/10102/show|https://fulfillment.bb-matrix.com/catalog-admin/#/sku_data/10102/show]    !image-20250328-044447.png|width=91.66666666666666%,alt=""""image-20250328-044447.png""""!      [https://fulfillment.bb-matrix.com/planogram-ui/admin/wh_planogram/fcrackshelfbin/?fc_rack[…]sle_name=T2&location__id__exact=1&o=7&p=2&planogram_id=1|https://fulfillment.bb-matrix.com/planogram-ui/admin/wh_planogram/fcrackshelfbin/?fc_rack%5B%E2%80%A6%5Dsle_name=T2&location__id__exact=1&o=7&p=2&planogram_id=1]    !image (7).png|width=83.33333333333333%,alt=""""image (7).png""""!  !image-20250328-044813.png|width=100%,alt=""""image-20250328-044813.png""""!",Bug
BE-19272,S1 Call 736133 - Orders unbale to assign CEE,Shreenivas Ramling Alte,Shreenivas Ramling Alte,Deployed to Prod,2025-03-28T09:39:05.165+0530,2025-03-29T06:45:03.157+0530,Django UnChainers,1.MyMCS: *736133*          2.Issue Reported Date: 28^th^ March 2025  3.Location: Location : PAN INDIA                                      4.Issue Reported by and Dep.: Operation  5.Issue severity: S1  6.Issue type: BUG  7.Location Impacted: Location : PAN INDIA  8.Issue Reported: *Orders unbale to assign CEE*  9.L1 Analysis:   *Orders unbale to assign CEE*  10.Screenshots and link:  11.Issue Type: New  12.Remarks: NA  13.Created by: Shreenivas Alte  14.Contact : - 9762883483,Bug
BE-19261,"[Prod] Product page Even i upload all images correctly with proper dimensions ,  Again its asking re-upload  the correct image",Lokesh Avula,Lokesh Avula,Accepted,2025-03-27T18:03:14.179+0530,2025-04-03T12:15:01.834+0530,Supernovas,"In Product page, Even i upload all images correctly with proper dimensions ,  Again its asking re-upload  the correct image  !Screenshot from 2025-03-27 16-12-59.png|width=1253,height=597,alt=""""Screenshot from 2025-03-27 16-12-59.png""""!  [^productresponce]",Transient Bug
BE-19253,New CS Reccomendation logic is not working,Pratyush Sahoo,Sai Kiran Panchakarla,Invalid Issue,2025-03-27T17:18:04.550+0530,2025-03-28T14:13:36.476+0530,TrailBlazers,"*Hi Team,*  Crate Stacking is not working as expected. New CS Recommendation flow is not working.  For below mentioned SKU, QOH is already available in “A-30-E-1“ location and sufficient space is available in the bin location to accommodate the incoming quantity, but system is not recommending the same.  *G2 User Mail:* [mayank.gupta@bigbasket.com|mailto:mayank.gupta@bigbasket.com]  *G2 User ID:* 20026129  *SKU ID:* 100004294  *Recommended Bin Location:* B-01-D-7  *Expected Bin Location:* A-30-E-1  |*DCName*|*BinLocation*|*max_sku_allowed*|*assigned_sku_count*|*SkuCount (as per CB)*|*BinQOH (as per CB)*|*TotalBinVolume*|*SkuVolume (as per CB)*|*Volume Utilization %*|*SKU Utilization %*| |DS-BNBLR-HEROHALLI|A-30-E-1|50|6|6|34.016|41790937|36444.38|0.09|12|  |*FCName*|*SkuID*|*Sku_name*|*bin_location*|*location_type*|*available_volume*|*quantity*| |DS-BNBLR-HEROHALLI|100004294|Everest Tandoori Chicken Masala 50 g |A-30-E-1|primary|41790937|4|  [^planogram-dynamic-location-report_2025-03-24-16-55-27.csv]  [^bin-stock-sku-detail-report_2025-03-27-09-34-44.csv]   Logs are uploaded in Server also  [^transaction (2).txt]  CC: [~accountid:712020:835e65b5-c9e2-4dca-a1c5-a7bb730f5472] [~accountid:557058:9f2a2d3f-5d5e-42c0-b8c1-e887e24fd92f] [~accountid:712020:4061c291-1f8f-42e4-91d9-36d32dc22ef7] [~accountid:6305adb275b5bbf5e3179074] [~accountid:615bdffc64ff0100714f7793] [~accountid:5c8f22f6196abe2e884c6e5f] [~accountid:60f00657c94cc20068b8ac33] [~accountid:62821052c6092d00690dac40] [~accountid:615bdffc64ff0100714f7793] [~accountid:63bfb72227c8920a5c02b626]",Bug
BE-19252,Incorrect received qty in IQ app ,Mayank Gupta,Bhargav Naga charan,Deployed to Prod,2025-03-27T17:12:21.884+0530,2025-04-02T11:40:41.382+0530,Uplifters,"Use case: Two orders placed with same SKU (both orders picked in same container). Both orders moved to RTS and got cancelled. On the IQ app, the received qty is still showing as 1. PFA the logs for the same[^transaction (9).txt]   CC: [~accountid:6305adb275b5bbf5e3179074] [~accountid:557058:9f2a2d3f-5d5e-42c0-b8c1-e887e24fd92f]",Bug
BE-19480,Store Open/Close actional alerts throwing 'User does not have access' even added role,venkata.narasaiah,abhisek.gupta,Accepted,2025-04-04T19:54:09.845+0530,2025-04-11T17:38:35.982+0530,Morphous,"Store Open/Close actional alerts throwing 'User does not have access' even added respective role which mentioned below role is mentioned in roles sheet.  Role Name: v3-bbnow_wh_managers  User id: 20034738  user name : haidi  URL: [https://qas12.bigbasket.com/eta/admin/v1/store/status|https://qas12.bigbasket.com/eta/admin/v1/store/status] Method: POST Protocol: h2 Status: Complete Response: 400 SSL: YesRequest time: Fri Apr 04 19:52:40 GMT+05:30 2025 Response time: Fri Apr 04 19:52:40 GMT+05:30 2025 Duration: 342 msRequest size: 135 B Response size: 292 B Total size: 427 B---------- Request ----------X-Entry-Context-Id: 102 X-Entry-Context: bb-internal X-Caller: IQ-APP X-TimeStamp: 2025-04-04T19:52:40.315Z X-ACCESSTOKEN: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IndwZTJmX216OWtZZ1RnIiwidGltZSI6IjE3NDM3NzY1MzYiLCJ1aWQiOjIwMDM0NzQ4fQ.B01tfKncz0m-c15yn_HgCKA0ND21GTHyip2vDh_tJvA X-Tracker: b88cd4ac-4d97-4258-afc1-77979bbd7fcb X-Device: 3.1.17.QA5_36284cddb26a8a93 X-Request-Identifier: 36284cddb26a8a93_20034748_2025-04-04T19:52:40.315Z Cookie: 1.BBADMINAUTHTOKEN=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IndwZTJmX216OWtZZ1RnIiwidGltZSI6IjE3NDM3NzY1MzYiLCJ1aWQiOjIwMDM0NzQ4fQ.B01tfKncz0m-c15yn_HgCKA0ND21GTHyip2vDh_tJvA X-Tenant-Id: 1 X-Project: picker{""""current_store_status"""":1,""""current_threshold_name"""":""""T2"""",""""eta_in_mins"""":123,""""new_store_status"""":0,""""new_threshold_name"""":""""T2"""",""""sa_id"""":10777}---------- Response ----------date: Fri, 04 Apr 2025 14:22:40 GMT content-type: application/json content-length: 292 server: nginx content-security-policy: x-tracker: b88cd4ac-4d97-4258-afc1-77979bbd7fcb set-cookie: tenant-id=1; Max-Age=31536000; Expires=Sat, 04 Apr 2026 14:22:40 GMT; Path=/; Domain=.[bigbasket.com|http://bigbasket.com/]; Secure{   """"errors"""": [     {       """"code"""": 7023,       """"code_str"""": """"ETA7023"""",       """"type"""": """"ETA_ERROR"""",       """"msg"""": """"User does not have permission 'change_sa_store_status' to update store status"""",       """"display_msg"""": """"User does not have permission 'change_sa_store_status' to update store status""""     }   ] }",Transient Bug
BE-19477,catalog api giving 404/503 error ,Shashikant Awasthi,Shashikant Awasthi,Accepted,2025-04-04T18:30:18.080+0530,2025-04-08T15:58:34.259+0530,Supernovas,catalog api is giving 503/404 error hence unable to proceed to bb mandi data setup for qa testing and dev integration GC logs : [https://app.groundcover.com/traces?start=2025-04-04T12%3A33%3A37.439Z&end=2025-04-04T12%3A45%3A40.593Z&duration=&tenantUUID=05d3148d-c82e-4956-9daa-6037066b88e9&src_cluster=&src_env=&backendId=us-east-1&spansSortBy=time&spansOrder=desc&selectedSpanId=&selectedSpanStartTime=&selectedSpanSource=&selectedSpanRootTraceId=&view=span&filter_g_resource=%3A%22%2Fcatalog_svc%2Fcatalog%2Finternal%2Fwrapper%2Fv2%2Fproduct%22|https://app.groundcover.com/traces?start=2025-04-04T12%3A33%3A37.439Z&end=2025-04-04T12%3A45%3A40.593Z&duration=&tenantUUID=05d3148d-c82e-4956-9daa-6037066b88e9&src_cluster=&src_env=&backendId=us-east-1&spansSortBy=time&spansOrder=desc&selectedSpanId=&selectedSpanStartTime=&selectedSpanSource=&selectedSpanRootTraceId=&view=span&filter_g_resource=%3A%22%2Fcatalog_svc%2Fcatalog%2Finternal%2Fwrapper%2Fv2%2Fproduct%22|smart-link],Transient Bug
BE-19473,"Driver Registration ,Task Creation API Fails with 500 Error on Mid-Mile Gate Pass CTA Submission",venkata.narasaiah,venkata.narasaiah,Accepted,2025-04-04T17:27:38.008+0530,2025-04-08T11:45:51.277+0530,Falcons,"Midmile gate pass - driver registration   Whenever a user submits a CTA for the mid-mile gate pass, the driver registration - task creation API fails and returns a 500 error code.  URL: [https://qas12.bigbasket.com/hermes/admin/job-manager/v2/fc/346/jobs/4000005016/tasks/create|https://qas12.bigbasket.com/hermes/admin/job-manager/v2/fc/346/jobs/4000005016/tasks/create] Method: POST Protocol: h2 Status: Complete Response: 500 SSL: YesRequest time: Fri Apr 04 17:10:06 GMT+05:30 2025 Response time: Fri Apr 04 17:10:06 GMT+05:30 2025 Duration: 323 msRequest size: 441 B Response size: 115 B Total size: 556 B---------- Request ----------X-Resource-Type: tasktype:midmile-driver-reg X-Caller: IQ-APP X-TimeStamp: 2025-04-04T17:10:06.539Z X-ACCESSTOKEN: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IjlsbmN5cWpiN0JUcU5BIiwidGltZSI6IjE3NDM3NjQwOTQiLCJ1aWQiOjc4Mn0.F6nw5n63rz2gjF9ieS9qp8os1Z29u7UITCh-WqtUfX0 X-Tracker: 0846b3e4-4933-42c7-953b-6ce3260982c9 X-Device: 3.1.17.QA5_44c8696e56945b00 X-Request-Identifier: 44c8696e56945b00_782_2025-04-04T17:10:06.539Z Cookie: 2.BBADMINAUTHTOKEN=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IjlsbmN5cWpiN0JUcU5BIiwidGltZSI6IjE3NDM3NjQwOTQiLCJ1aWQiOjc4Mn0.F6nw5n63rz2gjF9ieS9qp8os1Z29u7UITCh-WqtUfX0 X-Tenant-Id: 2 X-Project: picker{   """"client_context"""": {     """"fields"""": [       {         """"data_type"""": """"BOOLEAN"""",         """"path"""": """""""",         """"slug"""": """"driver_registered"""",         """"value"""": """"true""""       }     ]   },   """"elapsed_time"""": 344,   """"request_identifier"""": """"44c8696e56945b00_782_2025-04-04T17:10:06.521Z"""",   """"request_payload"""": {     """"additional_details"""": """"no"""",     """"first_name"""": """"kamal"""",     """"last_name"""": """"kumar"""",     """"license_number"""": """"987654321"""",     """"mobile_number"""": """"8185008800"""",     """"provider_id"""": 92,     """"user_id"""": 782   },   """"status"""": """"completed"""",   """"task_type"""": """"midmile-driver-reg"""",   """"user_id"""": """"782"""" }---------- Response ----------date: Fri, 04 Apr 2025 11:40:04 GMT content-type: application/json content-length: 115 content-security-policy: default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval' data: [https://qa.bbassets.com|https://qa.bbassets.com/] [https://js-agent.newrelic.com|https://js-agent.newrelic.com/] [https://bigbasket-india.s3.ap-south-1.amazonaws.com|https://bigbasket-india.s3.ap-south-1.amazonaws.com/] [https://www.kryogenix.org|https://www.kryogenix.org/] [https://code.jquery.com|https://code.jquery.com/] [https://cdnjs.cloudflare.com|https://cdnjs.cloudflare.com/]  [https://fonts.googleapis.com|https://fonts.googleapis.com/] [https://cdn.jsdelivr.net|https://cdn.jsdelivr.net/] [https://www.gstatic.com|https://www.gstatic.com/] [https://ajax.googleapis.com|https://ajax.googleapis.com/] [http://chart.apis.google.com|http://chart.apis.google.com/] [https://unpkg.com|https://unpkg.com/] [https://live.zoop.one|https://live.zoop.one/] [https://fonts.gstatic.com|https://fonts.gstatic.com/]  [https://maps.googleapis.com|https://maps.googleapis.com/] [https://maps.gstatic.com|https://maps.gstatic.com/] [https://osm.org|https://osm.org/] https://*.[openstreetmap.org|http://openstreetmap.org/] [https://ecplapi.azure-api.net|https://ecplapi.azure-api.net/] [https://integration.bigbasket.citrusad.com|https://integration.bigbasket.citrusad.com/] [https://staging-integration.citrusad.com|https://staging-integration.citrusad.com/]; font-src 'self' data: [https://cdnjs.cloudflare.com|https://cdnjs.cloudflare.com/] [https://maxcdn.bootstrapcdn.com/|https://maxcdn.bootstrapcdn.com/|smart-link]  [https://fonts.googleapis.com|https://fonts.googleapis.com/] [https://fonts.gstatic.com|https://fonts.gstatic.com/] [https://www.bbassets.com|https://www.bbassets.com/] [https://qa.bbassets.com|https://qa.bbassets.com/]  [https://stackpath.bootstrapcdn.com|https://stackpath.bootstrapcdn.com/]; style-src 'self' 'unsafe-inline' [https://qa.bbassets.com|https://qa.bbassets.com/] [https://code.jquery.com|https://code.jquery.com/] [https://cdnjs.cloudflare.com|https://cdnjs.cloudflare.com/] [https://www.bbassets.com|https://www.bbassets.com/]  [https://fonts.googleapis.com|https://fonts.googleapis.com/]  [https://maxcdn.bootstrapcdn.com|https://maxcdn.bootstrapcdn.com/] [https://cdn.jsdelivr.net|https://cdn.jsdelivr.net/]  [https://stackpath.bootstrapcdn.com|https://stackpath.bootstrapcdn.com/] [https://stackpath.bootstrapcdn.com|https://stackpath.bootstrapcdn.com/]; img-src data: * image/png image/gif blob:; connect-src 'self' *; worker-src 'self' 'unsafe-inline' 'unsafe-eval' blob: [https://cdnjs.cloudflare.com|https://cdnjs.cloudflare.com/] server: nginx set-cookie: tenant-id=2; Max-Age=31536000; Expires=Sat, 04 Apr 2026 11:40:04 GMT; Path=/; Domain=[croma-qa.bb-matrix.in|http://croma-qa.bb-matrix.in/]; Secure{   """"errors"""": [     {       """"code"""": 0,       """"code_str"""": """"HTZ-0"""",       """"display_msg"""": """"Something went wrong."""",       """"type"""": """"UNEXPECTED_ERROR"""",       """"msg"""": """"""""     }   ] }",Transient Bug
BE-19467,"For otc skus, empty tag value is getting created on sku upload and same is seen in solr.",sai archana,sai archana,Accepted,2025-04-04T16:38:59.049+0530,2025-04-07T15:57:40.032+0530,Supernovas,"Problem: For otc skus, empty tag value is getting created on sku upload and same is seen in solr.  Steps to reproduce:  # Do an sku upload for an sku with prescription_required: false and virtual_consultation: false in the additional_info in the template. # Check if entry is created in product_productdescription_product_tags for that sku and what are these tags in tag_tagvalue.  Expected:  If the sku is an otc i.e it has prescription_required: false and virtual_consultation: false, then no entry in product_productdescription_product_tags with group as prescription-details should be created for it.   Actual: Currently, we see tag group as prescription-details and tag value as empty and same is seen in solr.",Transient Bug
